"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$3.431000 monthly","$2.117000 monthly","$1.241000 monthly","$6.789000 monthly","$5.475000 monthly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$3.796000 monthly","$2.409000 monthly","$1.168000 monthly","$7.154000 monthly","$5.767000 monthly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$7.592000 monthly","$4.745000 monthly","$2.263000 monthly","$14.308000 monthly","$11.461000 monthly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$6.862000 monthly","$4.307000 monthly","$2.044000 monthly","$13.578000 monthly","$11.023000 monthly"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$13.724000 monthly","$8.614000 monthly","$4.964000 monthly","$27.156000 monthly","$22.046000 monthly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$15.184000 monthly","$9.490000 monthly","$4.526000 monthly","$28.616000 monthly","$22.922000 monthly"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$30.368000 monthly","$19.053000 monthly","$9.125000 monthly","$43.800000 monthly","$32.485000 monthly"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$27.448000 monthly","$17.228000 monthly","$9.198000 monthly","$40.880000 monthly","$30.660000 monthly"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$60.736000 monthly","$38.106000 monthly","$18.615000 monthly","$80.884000 monthly","$58.254000 monthly"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$54.896000 monthly","$34.383000 monthly","$17.812000 monthly","$75.044000 monthly","$54.531000 monthly"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$121.472000 monthly","$76.139000 monthly","$36.427000 monthly","$175.200000 monthly","$129.867000 monthly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$109.792000 monthly","$68.839000 monthly","$37.230000 monthly","$163.520000 monthly","$122.567000 monthly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$242.944000 monthly","$152.278000 monthly","$72.854000 monthly","$350.400000 monthly","$259.734000 monthly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$219.584000 monthly","$137.678000 monthly","$67.014000 monthly","$327.040000 monthly","$245.134000 monthly"
